Date,Open,High,Low,Close,S_3,S_15,S_60,Corr,Std_U,Std_D,OD,OL
2016-06-14,123.0,123.059998,122.300003,122.769997,121.87666566666665,118.42333373333334,119.24250043333333,0.9097846659324763,0.05999799999999311,0.6999969999999962,0.1999969999999962,0.3600009999999969
2016-06-15,122.519997,123.870003,122.379997,123.68,122.38333133333332,118.65,119.29200033333333,0.9235845819681884,1.3500059999999934,0.14000000000000057,-0.4800029999999964,-0.25
2016-06-16,125.169998,125.669998,122.230003,122.379997,123.02999866666664,119.07533313333333,119.37066701666667,0.9405067756212954,0.5,2.9399950000000104,2.650001000000003,1.489998
2016-06-17,123.260002,124.099998,122.690002,123.949997,122.94333133333332,119.43533273333333,119.42183366666669,0.9429848094323021,0.8399959999999993,0.5699999999999932,-1.9099960000000067,0.880004999999997
2016-06-20,122.260002,123.330002,122.129997,123.209999,123.33666466666665,119.92666573333332,119.54416693333334,0.9453005914587758,1.0699999999999932,0.13000499999999704,-1.0,-1.6899949999999961
2016-06-21,121.650002,121.860001,120.769997,120.839996,123.17999766666667,120.43266546666668,119.65883355,0.9175996443474296,0.20999899999999627,0.880004999999997,-0.6099999999999994,-1.5599969999999956
2016-06-22,120.830002,121.25,120.68,120.900002,122.66666399999998,120.751332,119.72950018333334,0.602947543806731,0.41999800000000675,0.15000199999998642,-0.8200000000000074,-0.009994000000006054
2016-06-23,120.489998,121.029999,120.059998,120.110001,121.64999899999998,121.08199866666668,119.76516685,0.30180679063176297,0.5400010000000037,0.4300000000000068,-0.3400039999999933,-0.4100040000000007
2016-06-24,126.620003,126.82,125.0,126.0,120.6166663333333,121.37799886666667,119.81533356666667,0.20198284945290468,0.1999969999999962,1.620002999999997,6.130004999999997,6.510002
2016-06-27,126.440002,127.050003,125.830002,126.68,122.33666766666666,121.85266573333334,119.95466691666667,-0.34492341363148127,0.6100009999999969,0.6100000000000136,-0.18000099999999009,0.4400020000000069
2016-06-28,125.559998,126.019997,125.059998,125.32,124.26333366666665,122.3699992,120.11716691666668,-0.32310821495138686,0.4599990000000105,0.5,-0.8800040000000138,-1.1200020000000137
2016-06-29,125.910004,126.809998,125.699997,125.839996,125.99999999999999,122.80333253333333,120.27000021666666,-0.0871099013739827,0.8999939999999924,0.2100070000000045,0.3500060000000076,0.5900040000000075
2016-06-30,125.949997,126.519997,125.5,126.470001,125.94666533333331,123.1539988,120.40633341666667,0.19374920087389838,0.5700000000000074,0.4499969999999962,0.039992999999995504,0.1100009999999969
2016-07-01,127.660004,128.419998,127.440002,128.410004,125.87666566666665,123.50199886666665,120.56516673333334,0.34631728484009133,0.7599939999999918,0.2200019999999938,1.7100070000000045,1.1900030000000044
2016-07-05,128.800003,129.589996,128.169998,129.470001,126.90666699999997,123.94666593333334,120.72850011666667,0.48177944995605176,0.7899930000000097,0.6300050000000113,1.139999000000003,0.3899990000000173
