Date,Close,High,P_H,Low,P_L,Signal,gld_returns,strategy_returns
2018-04-02,127.260002,127.540001,127.21746246011486,126.379997,126.10741807356604,-1,0.011686151429476377,0.0
2018-04-03,126.300003,126.589996,127.04196041746115,126.010002,125.96787728479046,0,-0.0075436035275247,0.0075436035275247
2018-04-04,126.449997,127.529999,128.04784399598458,126.32,126.93085085494003,1,0.001187600921909615,0.0
2018-04-05,125.800003,126.080002,125.9871597638081,125.43,124.88624632320251,-1,-0.0051403243607826,-0.0051403243607826
2018-04-06,126.389999,126.599998,127.13654417017588,126.129997,126.0135333906396,0,0.004689952193403402,-0.004689952193403402
2018-04-09,126.82,126.860001,126.98785665208634,126.230003,125.87191035419625,0,0.0034021758319657813,0.0
2018-04-10,127.120003,127.309998,127.55176928437616,126.669998,126.43986206557574,0,0.0023655811386216197,0.0
2018-04-11,128.110001,129.470001,128.63374466275374,127.779999,127.49758436145628,-1,0.007787901011928167,0.0
2018-04-12,126.620003,127.339996,127.77445907917964,126.470001,126.65529765289632,1,-0.011630614225036306,0.011630614225036306
2018-04-13,127.449997,127.75,127.64133178879386,127.029999,126.50401148128608,-1,0.006554999054928068,0.006554999054928068
2018-04-16,127.629997,128.050003,128.28940063597054,127.57,127.17321714690168,0,0.0014123185895407175,-0.0014123185895407175
2018-04-17,127.75,127.779999,127.53994268133336,127.0,126.45001193469176,-1,0.0009402413446737423,0.0
2018-04-18,127.849998,128.539993,128.8711860257163,127.75,127.75500490889333,1,0.0007827632093933001,-0.0007827632093933001
2018-04-19,127.599998,127.879997,128.34412965404195,127.129997,127.23651107098654,1,-0.0019554165343045327,-0.0019554165343045327
2018-04-20,126.629997,126.970001,127.23078777908935,126.550003,126.13650556544664,0,-0.007601888833885351,-0.007601888833885351
2018-04-23,125.620003,125.760002,126.18814123728984,125.339996,125.0822086450809,0,-0.007975945857441658,-0.0
2018-04-24,126.230003,126.339996,126.36134573504248,125.669998,125.24035251101267,0,0.004855914547303497,0.0
2018-04-25,125.410004,125.510002,125.76149804729384,125.059998,124.68145347894772,0,-0.006496070510273233,-0.0
2018-04-26,124.970001,125.57,126.07484426828724,124.690002,125.00360262747678,1,-0.0035085159553938094,-0.0
2018-04-27,125.5,125.620003,125.7291803568637,125.169998,124.66433206525991,0,0.004241009808426011,0.004241009808426011
2018-04-30,124.589996,125.199997,124.91191227296576,124.190002,123.87628492535028,-1,-0.0072510278884462265,-0.0
2018-05-01,123.709999,123.980003,124.42375083603842,123.389999,123.38365542968415,0,-0.007063143336163202,0.007063143336163202
2018-05-02,123.650002,124.540001,124.43640300299371,123.580002,123.3890040661352,-1,-0.00048498100788119114,-0.0
2018-05-03,124.279999,124.760002,125.1724663832008,124.239998,124.12820101470886,0,0.005095001939425803,-0.005095001939425803
2018-05-04,124.540001,124.650002,124.57741370425236,124.0,123.5553982169249,-1,0.0020920663187324884,0.0
2018-05-07,124.57,124.699997,124.9962934427938,124.300003,123.96129174489316,0,0.00024087843069775516,-0.00024087843069775516
2018-05-08,124.589996,124.949997,124.6458733068158,123.790001,123.60641379137408,-1,0.0001605201894516739,0.0
2018-05-09,124.330002,124.870003,124.9712583095551,124.239998,123.91742068666488,0,-0.0020867967601508886,0.0020867967601508886
2018-05-10,125.18,125.370003,125.74963179488832,124.75,124.67385174487144,0,0.006836628217861795,0.0
2018-05-11,125.0,125.589996,126.08018557758004,124.940002,125.00501829738243,1,-0.001437929381690406,-0.0
2018-05-14,124.489998,125.209999,125.68374430020532,124.440002,124.59195112000408,1,-0.004080015999999964,-0.004080015999999964
2018-05-15,122.480003,122.82,123.35828356934266,122.129997,122.28370589067497,1,-0.0161458352662196,-0.0161458352662196
2018-05-16,122.290001,122.610001,122.9659917951305,122.029999,121.8717451891877,0,-0.001551289968534597,-0.001551289968534597
2018-05-17,122.360001,122.43,122.77566063530814,122.040001,121.71661443361856,0,0.0005724098407684508,0.0
2018-05-18,122.410004,122.650002,122.55309397257491,122.010002,121.53035969197845,-1,0.00040865478580709436,0.0
2018-05-21,122.480003,122.529999,122.66188079077946,121.970001,121.64409181264644,0,0.0005718405172179253,-0.0005718405172179253
2018-05-22,122.410004,122.739998,123.20428070471756,122.339996,122.1795284320122,0,-0.0005715137025266159,-0.0
2018-05-23,122.540001,122.739998,122.63784392630656,122.110001,121.6193649426784,-1,0.0010619801956710528,0.0
2018-05-24,123.589996,123.82,123.60910551368237,123.080002,122.57691972808428,-1,0.008568589778287894,-0.008568589778287894
2018-05-25,123.209999,123.699997,124.1489438052291,123.209999,123.11663710788196,0,-0.003074658243374384,0.003074658243374384
2018-05-29,123.190002,123.639999,123.34670742605272,122.660004,122.30329558426752,-1,-0.00016230013929297016,-0.0
2018-05-30,123.370003,123.610001,123.7117685355643,123.169998,122.63505913008566,0,0.0014611656553100705,-0.0014611656553100705
2018-05-31,123.099998,123.779999,123.78524517805576,123.099998,122.7211348522725,0,-0.002188579017867065,-0.0
2018-06-01,122.489998,123.089996,123.09948990470332,122.440002,122.05685615191751,0,-0.004955320957844345,-0.0
2018-06-04,122.370003,122.93,123.38789661164375,122.370003,122.33258449132892,0,-0.0009796310062801794,-0.0
2018-06-05,122.849998,123.230003,123.07388430088996,122.279999,122.02213469014627,-1,0.003922489076019664,0.0
2018-06-06,122.919998,123.349998,123.59452495298342,122.629997,122.5428547273593,0,0.0005698005790770733,-0.0005698005790770733
2018-06-07,122.860001,123.150002,123.47503138680555,122.690002,122.41666299625368,0,-0.0004880979578278932,-0.0
2018-06-08,123.010002,123.120003,123.61030835085538,122.910004,122.53794114309052,0,0.00122090996890023,0.0
2018-06-11,123.230003,123.419998,123.62100685032118,123.019997,122.56227745863424,0,0.001788480582253671,0.0
2018-06-12,122.82,123.18,123.46780133216808,122.639999,122.41450336066976,0,-0.003327136168291722,-0.0
2018-06-13,123.190002,123.339996,123.37187736264563,122.470001,122.30946872888276,0,0.003012554958475855,0.0
2018-06-14,123.379997,123.860001,124.16330219953062,123.32,123.08655117879928,0,0.00154229236882375,0.0
2018-06-15,121.339996,122.199997,122.69192823522934,120.830002,121.64031718010204,1,-0.016534292831924757,-0.0
2018-06-18,121.110001,121.440002,121.91827123751972,120.989998,120.8389039270196,0,-0.0018954591031963286,-0.0018954591031963286
2018-06-19,120.800003,121.029999,121.35265918536126,120.580002,120.3077472850125,0,-0.0025596399755623,-0.0
2018-06-20,120.260002,120.809998,121.2985873399096,120.160004,120.28591817461346,1,-0.004470206842627333,-0.0
2018-06-21,120.050003,120.32,120.4209622918718,119.82,119.42442353129164,0,-0.001746208186492404,-0.001746208186492404
2018-06-22,120.339996,120.400002,120.71295990869524,120.099998,119.71741708181408,0,0.0024156017722047896,0.0
2018-06-25,119.889999,120.230003,120.48290852612692,119.830002,119.4996047893832,0,-0.0037393802140395227,-0.0
2018-06-26,119.260002,119.589996,119.77053851008708,119.089996,118.79064754561124,0,-0.005254791936398329,-0.0
2018-06-27,118.580002,119.050003,119.46599003456586,118.480003,118.48239775537022,1,-0.0057018278433368375,-0.0
2018-06-28,118.220001,118.669998,119.09136822079054,118.010002,118.11226617340468,1,-0.0030359334957676953,-0.0030359334957676953
2018-06-29,118.650002,118.940002,118.91993342501002,118.260002,117.94935103867805,-1,0.0036372948431966368,0.0036372948431966368
2018-07-02,117.459999,118.209999,118.65015376324448,117.400002,117.69533952336434,1,-0.010029523640463167,0.010029523640463167
2018-07-03,118.650002,119.080002,118.9044396743509,118.379997,117.92798011938396,-1,0.010131134089316651,0.010131134089316651
2018-07-05,119.050003,119.330002,119.3891582890379,118.769997,118.42192129227352,0,0.0033712683797511023,-0.0033712683797511023
2018-07-06,118.860001,119.029999,119.43182631983495,118.730003,118.46253493187034,0,-0.0015959848400843857,-0.0
2018-07-09,119.150002,119.730003,120.1481064022781,119.139999,119.1463540240894,1,0.0024398535887610873,0.0
2018-07-10,118.93,119.0,119.37965664532578,118.610001,118.38311942526995,0,-0.0018464288401773832,-0.0018464288401773832
2018-07-11,117.639999,118.529999,118.9582190965167,117.620003,117.95308604507731,1,-0.010846724964264753,-0.0
2018-07-12,118.129997,118.260002,118.53793295265538,117.940002,117.50805720839624,0,0.0041652329493815365,0.0041652329493815365
2018-07-13,117.610001,117.75,118.13277692103956,117.449997,117.12383707273088,0,-0.00440189632782273,-0.0
2018-07-16,117.550003,117.629997,118.0179561322876,117.279999,117.0182274408091,0,-0.0005101436909263901,-0.0
2018-07-17,116.279999,116.93,117.22404599180986,116.120003,116.24091778502132,1,-0.010803946980758483,-0.0
2018-07-18,116.309998,116.349998,116.54535531073242,115.830002,115.56917204637544,0,0.0002579893383038989,0.0002579893383038989
2018-07-19,115.809998,116.470001,115.62545985356228,115.120003,114.68005851883278,-1,-0.004298856578090593,-0.0
2018-07-20,116.559998,116.709999,116.8987279944852,116.239998,115.9420826783206,0,0.006476124798827865,-0.006476124798827865
2018-07-23,116.0,116.309998,116.71515623972968,115.760002,115.7722976216586,1,-0.004804375511399672,-0.0
2018-07-24,116.040001,116.43,116.69999823880634,115.910004,115.74709371435458,0,0.00034483620689651495,0.00034483620689651495
2018-07-25,116.68,116.839996,117.2772741065604,116.269997,116.3129463080468,1,0.0055153308728428385,0.0
2018-07-26,115.769997,116.510002,116.70228433891636,115.769997,115.75517690102726,0,-0.007799134384641748,-0.007799134384641748
2018-07-27,115.830002,116.239998,116.4150538864424,115.769997,115.44958828341866,0,0.0005183121841143556,0.0
2018-07-30,115.650002,116.019997,116.29783924404173,115.639999,115.3298696181994,0,-0.0015540015271690022,-0.0
2018-07-31,115.989998,116.349998,115.9639631563938,115.389999,114.99153073408176,-1,0.0029398702474729976,0.0
2018-08-01,115.139999,115.699997,116.12600832761152,115.129997,115.15134997374884,1,-0.007328209454749657,0.007328209454749657
2018-08-02,114.519997,115.230003,115.67590467151122,114.419998,114.69683292875382,1,-0.005384766418141118,-0.005384766418141118
2018-08-03,114.919998,115.529999,115.59387390921098,114.860001,114.62996865073757,0,0.0034928485022576172,0.0034928485022576172
2018-08-06,114.330002,114.720001,115.03347656377017,114.309998,114.09472341272112,0,-0.005133971547754634,-0.0
2018-08-07,114.589996,114.940002,115.33662789958848,114.419998,114.38873513566044,0,0.002274066259528418,0.0
2018-08-08,114.910004,114.949997,115.22727632753517,114.410004,114.28382474823346,0,0.002792634707832642,0.0
2018-08-09,114.739998,115.120003,115.49188358987688,114.690002,114.54882203862368,0,-0.001479470838761765,-0.0
2018-08-10,114.690002,115.230003,115.29083285554812,114.610001,114.3412885528368,0,-0.00043573296907317705,-0.0
2018-08-13,112.959999,113.809998,114.29431377774526,112.830002,113.3536646913526,1,-0.015084165749687628,-0.0
2018-08-14,113.07,113.480003,113.76922429687389,112.839996,112.80752339383903,0,0.0009738048953062961,0.0009738048953062961
2018-08-15,111.190002,112.18,112.6614231706667,111.059998,111.73129706335574,1,-0.01662685062350744,-0.0
2018-08-16,111.099998,111.879997,111.9587527904978,111.099998,111.03476146539946,0,-0.0008094612679295787,-0.0008094612679295787
2018-08-17,112.129997,112.150002,112.17119558769414,111.379997,111.25996977433694,0,0.00927091825870252,0.0
2018-08-20,112.690002,112.739998,112.81851455358792,112.160004,111.92233700497076,0,0.004994247881768832,0.0
2018-08-21,113.019997,113.099998,113.21341618528606,112.440002,112.30492890207628,0,0.0029283431905520185,0.0
2018-08-22,113.269997,113.489998,113.85697459149712,113.07,112.92491344387236,0,0.0022119979351973296,0.0
2018-08-23,112.199997,112.879997,113.15001987075836,112.059998,112.218927697987,1,-0.009446455622312833,-0.0
2018-08-24,114.160004,114.419998,113.75985712461012,113.209999,112.79531964516724,-1,0.017468868559773698,0.017468868559773698
2018-08-27,114.589996,114.779999,114.5936527069338,114.120003,113.63528316083134,-1,0.0037665730985783075,-0.0037665730985783075
2018-08-28,113.68,114.870003,115.23430457932947,113.550003,114.26504948497931,1,-0.00794132150942739,0.00794132150942739
2018-08-29,114.199997,114.209999,114.67493183694116,113.849998,113.68327235078073,0,0.0045742171006333265,0.0045742171006333265
2018-08-30,113.639999,113.93,114.42021686175426,113.239998,113.45678040280605,1,-0.004903660374001473,-0.0
2018-08-31,113.510002,114.059998,114.2233394472999,113.440002,113.25974424807742,0,-0.0011439370040825514,-0.0011439370040825514
2018-09-04,112.93,113.07,113.2554603623166,112.610001,112.29902103847706,0,-0.0051096994959086706,-0.0
2018-09-05,113.32,113.440002,113.88203504580932,113.120003,112.90552245057592,0,0.0034534667493135718,0.0
2018-09-06,113.540001,114.260002,114.39189103649612,113.279999,113.41405178546631,1,0.0019414136957289774,0.0
2018-09-07,113.230003,113.599998,113.74616802791068,112.970001,112.78002310188968,0,-0.0027302976683962754,-0.0027302976683962754
2018-09-10,113.150002,113.43,113.77374865654092,113.0,112.78689870111896,0,-0.0007065353517653472,-0.0
2018-09-11,113.220001,113.370003,113.15551344365394,112.419998,112.18689644423364,-1,0.0006186389638773715,0.0
2018-09-12,114.169998,114.389999,113.6195834650067,113.059998,112.6662747933444,-1,0.008390717113666346,-0.008390717113666346
2018-09-13,113.760002,114.779999,115.21410139817382,113.580002,114.23747717087934,1,-0.0035911010526601395,0.0035911010526601395
2018-09-14,113.019997,113.900002,114.28731936741175,112.910004,113.29741490236144,1,-0.006504966481980179,-0.006504966481980179
2018-09-17,113.610001,114.029999,114.13358761961018,113.550003,113.11916391337554,0,0.005220350519032468,0.005220350519032468
2018-09-18,113.440002,113.910004,114.30138218254052,113.279999,113.29908216357563,1,-0.0014963383373264305,-0.0
2018-09-19,113.879997,114.150002,114.44701352498878,113.68,113.44736268968023,0,0.0038786582531971092,0.0038786582531971092
2018-09-20,114.269997,114.370003,114.71846523141409,113.860001,113.71501405460056,0,0.003424657624464089,0.0
2018-09-21,113.489998,113.68,113.36281950990268,112.790001,112.39188384455616,-1,-0.006825929994554891,-0.0
2018-09-24,113.470001,113.959999,114.22174117557368,113.43,113.21532416215196,0,-0.00017620054940881147,0.00017620054940881147
2018-09-25,113.650002,113.889999,114.27806286517288,113.57,113.26802110283931,0,0.0015863311748802733,0.0
2018-09-26,113.050003,113.599998,113.62190124131172,112.660004,112.6225281827834,0,-0.005279357584173194,-0.0
2018-09-27,112.050003,112.419998,112.620166933379,111.849998,111.63874695170998,0,-0.00884564328582993,-0.0
2018-09-28,112.760002,113.0,112.69255604850684,112.07,111.71728144682903,-1,0.006336447844628834,0.0
2018-10-01,112.57,112.620003,112.89368552459068,112.150002,111.9445135742282,0,-0.0016850123858636046,0.0016850123858636046
2018-10-02,113.870003,114.330002,114.19324918228608,113.610001,113.22832786052824,-1,0.01154839655325568,0.0
2018-10-03,113.419998,114.050003,114.34410975851446,113.260002,113.3771133355536,1,-0.0039519187507177644,0.0039519187507177644
2018-10-04,113.480003,114.190002,114.32717043331502,113.260002,113.34407537350464,1,0.0005290513230302718,0.0005290513230302718
2018-10-05,113.800003,114.099998,114.32329925700324,113.57,113.32947797318042,0,0.002819880080546122,0.002819880080546122
2018-10-08,112.540001,112.589996,112.7448723108402,111.900002,111.78156378238828,0,-0.01107207352182582,-0.0
2018-10-09,112.599998,112.669998,112.9128664928734,111.970001,111.92094621574076,0,0.0005331171091778053,0.0
2018-10-10,112.879997,112.959999,112.99877347828668,112.25,112.00758570842224,0,0.002486669671166508,0.0
2018-10-11,115.779999,116.040001,114.71266084225522,114.089996,113.7096298529404,-1,0.025691017692000884,0.0
2018-10-12,115.230003,115.709999,116.04566343526368,115.080002,115.05237213034312,0,-0.0047503541609117406,0.0047503541609117406
2018-10-15,116.0,116.529999,116.62463260750404,115.889999,115.60075376850044,0,0.006682261389856947,0.0
2018-10-16,115.800003,116.599998,117.01147857290752,115.800003,115.98482660607836,1,-0.0017241120689654998,-0.0
2018-10-17,115.790001,116.330002,116.40534883476276,115.68,115.3914781307428,0,-8.637305475722723e-05,-8.637305475722723e-05
2018-10-18,115.919998,116.410004,116.3604932073692,115.629997,115.34511802343526,-1,0.0011226962507755456,0.0
2018-10-19,116.010002,116.239998,116.75562032094756,115.959999,115.740484308082,0,0.0007764320354801679,-0.0007764320354801679
2018-10-22,115.709999,115.779999,116.08600539269858,115.43,115.08279706467071,0,-0.0025860097821566175,-0.0
2018-10-23,116.389999,117.25,117.69876230614852,116.330002,116.66736742434088,1,0.00587676091847511,0.0
2018-10-24,116.660004,116.720001,116.88060607690922,116.110001,115.87177812760908,0,0.002319829902223791,0.002319829902223791
2018-10-25,116.400002,116.730003,117.09514111920178,116.190002,116.08039654221945,0,-0.002228715850206897,-0.0
2018-10-26,116.769997,117.650002,117.35852131510724,116.459999,116.33631723989464,-1,0.0031786511481330937,0.0
2018-10-29,116.309998,116.540001,116.92994889686985,115.839996,115.91365228740176,1,-0.003939359525718,0.003939359525718
2018-10-30,115.800003,116.040001,116.37575939638351,115.639999,115.36863243785464,0,-0.004384790721086551,-0.004384790721086551
2018-10-31,115.150002,115.169998,115.42736255068591,114.660004,114.4188890879946,0,-0.0056131345696079915,-0.0
2018-11-01,116.629997,117.07,116.88367272335022,116.18,115.84380760961696,-1,0.012852757049887087,0.0
2018-11-02,116.650002,116.980003,117.10989815086717,116.389999,116.0887263586067,0,0.00017152534094644345,-0.00017152534094644345
2018-11-05,116.370003,116.669998,116.7899634191232,116.230003,115.76230073690836,0,-0.002400334292321782,-0.0
2018-11-06,116.040001,116.529999,116.9864494552367,115.739998,115.9343567466166,1,-0.002835799531602623,-0.0
2018-11-07,116.029999,116.349998,116.80378803040344,115.900002,115.7515601963007,0,-8.619441497592639e-05,-8.619441497592639e-05
2018-11-08,115.779999,116.150002,116.30268649758044,115.5,115.26457036698372,0,-0.002154615204297272,-0.0
2018-11-09,114.480003,114.75,115.12985114386971,114.139999,114.110936345357,0,-0.011228156946175183,-0.0
2018-11-12,113.660004,114.050003,114.5614232167313,113.580002,113.54528396830229,0,-0.007162814277704044,-0.0
2018-11-13,113.699997,113.93,114.25501411515476,113.419998,113.26296304799337,0,0.00035186519965280105,0.0
2018-11-14,114.639999,115.059998,114.02835503204734,113.459999,113.06669405621308,-1,0.008267388080933857,0.0
2018-11-15,114.769997,114.989998,115.31298253246516,114.559998,114.34949515111674,0,0.0011339672115664445,-0.0011339672115664445
2018-11-16,115.620003,115.879997,116.3160916735164,115.370003,115.3310640069556,0,0.007406169053049583,0.0
2018-11-19,115.669998,115.919998,115.92991289962592,115.370003,114.94835637858816,0,0.0004324078766890782,0.0
2018-11-20,115.669998,115.949997,116.4451478990496,115.370003,115.44454702995328,1,0.0,0.0
2018-11-21,115.860001,116.349998,116.45589989218485,115.860001,115.44328234556647,0,0.0016426299237939368,0.0016426299237939368
2018-11-23,115.769997,115.879997,116.27462666939604,115.589996,115.26350444989666,0,-0.0007768341034278814,-0.0
2018-11-26,115.639999,115.870003,116.36289207732572,115.529999,115.34589727002948,0,-0.001122898880268619,-0.0
2018-11-27,114.949997,115.629997,116.07076350255625,114.599998,115.06240573175272,1,-0.005966810843711645,-0.0
